,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
138,5,2,3,2,Admeld,30000000.0,success,3,Media & Publishing,406.0,629.0,15,North America
139,7,0,4,3,AdMob,46800000.0,success,4,Media & Publishing,0.0,881.0,16,North America
140,2,2,0,0,AdMobius,5000000.0,success,1,Media & Publishing,457.0,0.0,11,North America
141,6,2,0,1,AdNectar,38730470.0,failure,1,Media & Publishing,195.0,0.0,14,North America
142,7,2,4,4,Adnexus,55500000.0,success,3,Health Care & Biotechnology,365.0,1679.0,20,North America
143,5,5,5,4,Adometry By Google,29575000.0,success,5,Media & Publishing,767.0,2151.0,17,North America
144,5,1,5,5,Adomo,18500000.0,success,2,Information Technology,92.0,2796.0,23,North America
145,7,2,4,1,ADOR,56464868.0,success,5,Media & Publishing,520.0,1213.0,13,North America
146,1,2,2,2,AdoTube,1230000.0,success,2,Media & Publishing,155.0,245.0,15,North America
147,5,2,4,3,AdReady,17807000.0,success,4,Media & Publishing,546.0,1815.0,16,North America
148,1,2,0,1,AdRocket,1000000.0,failure,1,Media & Publishing,469.0,0.0,14,North America
149,5,6,0,2,adSage,20000000.0,success,1,Media & Publishing,1704.0,0.0,15,North America
150,6,1,2,0,AdStack,38730470.0,success,2,Media & Publishing,90.0,396.0,11,North America
151,1,2,0,1,Adtuitive,1300000.0,success,1,Media & Publishing,215.0,0.0,14,North America
152,1,1,0,2,Aductions,100000.0,success,1,Media & Publishing,111.0,0.0,15,North America
153,5,2,4,1,Adura Technologies,25500000.0,success,3,Science & Engineering,289.0,1288.0,14,North America
154,8,7,4,5,Aduro BioTech,143380940.0,success,8,Health Care & Biotechnology,3608.0,1875.0,22,North America
155,1,0,0,0,Advaliant,100000.0,failure,1,Media & Publishing,0.0,0.0,9,North America
156,5,5,2,4,Advanced BioHealing,33500000.0,success,2,Health Care & Biotechnology,1055.0,463.0,19,North America
157,5,5,4,2,Advanced Cardiac Therapeutics,12300000.0,failure,2,Health Care & Biotechnology,1106.0,1561.0,15,North America
158,7,5,4,2,Advanced Cell Technology,57777000.0,success,3,Health Care & Biotechnology,1046.0,1694.0,15,North America
159,3,7,0,5,Advanced Data Exchange,10000000.0,success,1,Information Technology,4226.0,0.0,30,North America
160,5,5,4,4,Advanced Electron Beams,31670000.0,failure,2,Information Technology,814.0,862.0,17,North America
161,1,1,0,2,Advanced Marketing & Media Group,500000.0,failure,1,Media & Publishing,14.0,0.0,15,North America
162,6,8,0,5,Advanced Medical Innovations,38730470.0,failure,1,Services,6209.0,0.0,27,North America
163,6,7,0,5,Advanced Mobile Solutions,38730470.0,success,1,Media & Publishing,3650.0,0.0,24,North America
164,5,0,0,1,Advanced Power Projects,13000000.0,failure,1,Information Technology,0.0,0.0,13,North America
165,2,8,0,5,ART Advanced Recognition Technologies,6000000.0,success,1,Electronics,5126.0,0.0,32,North America
166,6,7,5,4,AdvanDx,39700000.0,success,5,Health Care & Biotechnology,2086.0,2737.0,20,North America
167,8,7,5,4,Advaxis,98537420.0,success,8,Health Care & Biotechnology,2830.0,2155.0,20,North America
168,2,5,0,4,Adventure Central,3500000.0,success,1,Commerce & Marketing,1470.0,0.0,19,North America
169,6,7,0,5,Advertising Concepts,38730470.0,failure,1,Services,2153.0,0.0,28,North America
170,5,5,4,4,AdXpose,22800000.0,success,3,Media & Publishing,761.0,1523.0,17,North America
171,1,2,2,3,AdYouNet,1400000.0,failure,2,Media & Publishing,365.0,485.0,16,North America
172,5,7,2,4,Aegerion Pharmaceuticals,19814760.0,success,2,Health Care & Biotechnology,2004.0,105.0,17,North America
173,2,7,0,5,Aegis Lightwave,8000000.0,success,1,Information Technology,1977.0,0.0,22,North America
174,2,7,5,6,Aehr Test Systems,7857000.0,success,4,Information Technology,3183.0,10807.0,45,North America
175,2,7,0,5,AEP Networks,5000000.0,success,1,Information Technology,2548.0,0.0,24,North America
176,8,7,4,4,Aerie Pharmaceuticals,253614960.0,success,5,Health Care & Biotechnology,2069.0,1469.0,17,North America
177,8,2,5,3,Aerohive Networks,104952380.0,success,6,Electronics,181.0,2565.0,16,North America
178,8,8,0,6,Aeropostale,150000000.0,success,1,Other,10009.0,0.0,35,North America
179,7,7,4,5,AeroScout,49000000.0,success,4,Electronics,2982.0,1343.0,23,North America
180,8,5,4,4,Aerovance,120500000.0,failure,5,Health Care & Biotechnology,1182.0,1454.0,18,North America
181,2,2,0,4,Aesthera Corporation,6500000.0,success,1,Consumer Goods,411.0,0.0,18,North America
182,5,7,5,5,Aethlon Medical,17681234.0,success,12,Health Care & Biotechnology,3843.0,2175.0,23,North America
183,7,0,3,3,Affinity,85000000.0,success,2,Media & Publishing,0.0,823.0,16,North America
184,7,7,5,5,Affinium Pharmaceuticals,81800000.0,success,5,Health Care & Biotechnology,2641.0,2361.0,22,North America
185,6,7,0,5,Affordable Interior Systems,38730470.0,success,1,Consumer Goods,3652.0,0.0,33,North America
186,5,5,2,4,AGEIA Technologies,27500000.0,success,2,Game & Applications,1007.0,364.0,20,North America
187,6,0,0,5,Agencourt Bioscience,38730470.0,success,1,Health Care & Biotechnology,0.0,0.0,22,North America
188,1,8,0,5,Agencyport Software,1171300.0,success,1,Information Technology,4353.0,0.0,22,North America
189,1,1,0,0,AgentRave,45000.0,failure,1,Commerce & Marketing,31.0,0.0,7,North America
190,8,8,5,5,Agenus,171140000.0,success,5,Health Care & Biotechnology,5694.0,2241.0,28,North America
191,7,0,5,3,Aggregate Knowledge,74311930.0,success,8,Media & Publishing,0.0,3012.0,16,North America
192,1,0,0,0,Agiftidea.com,50000.0,failure,1,Commerce & Marketing,0.0,0.0,10,North America
193,8,8,4,5,Agile Therapeutics,111005000.0,success,7,Health Care & Biotechnology,4683.0,1927.0,25,North America
194,1,2,0,1,AgileZen,25000.0,success,1,Information Technology,258.0,0.0,13,North America
195,8,5,4,5,Agility Communications,168000000.0,success,4,Information Technology,1014.0,1610.0,24,North America
196,6,5,0,5,"Agillion, Inc.",40000000.0,failure,1,Information Technology,676.0,0.0,24,North America
197,5,7,4,5,AgInfoLink,12265000.0,failure,3,Information Technology,3717.0,1476.0,25,North America
198,8,2,4,1,Agios Pharmaceuticals,119823940.0,success,4,Health Care & Biotechnology,188.0,1228.0,14,North America
199,2,2,0,4,Agistics,2000000.0,success,1,Information Technology,313.0,0.0,17,North America
200,6,6,0,2,agnion Energy,38730470.0,success,1,Information Technology,1592.0,0.0,15,North America
201,7,7,5,5,AgraQuest,57100000.0,success,4,Health Care & Biotechnology,2959.0,2964.0,27,North America
