,location,name,url,score,description,latitude,longitude
10897,Ariege,la grange de clotilde,https://www.booking.com/hotel/fr/la-grange-de-clotilde.fr.html,,"Situé à Siguer, l'établissement la grange de clotilde propose un accès skis aux pieds, une terrasse, une connexion Wi-Fi gratuite et une vue sur le jardin. ",42.717599656457,1.55065255
10898,Ariege,Gîte écolo dans une ferme bio,https://www.booking.com/hotel/fr/gite-ecolo-dans-une-ferme-bio.fr.html,,"Situé à Gudas, en Midi-Pyrénées, le Gîte écolo dans une ferme bio dispose d'une terrasse et offre une vue sur le jardin. ",42.9837299,1.6857662
10899,Ariege,Magnifique villa entière avec piscine,https://www.booking.com/hotel/fr/magnifique-villa-entiere-avec-piscine.fr.html,,"Magnifique villa entière avec piscine is situated in Lézat-sur-Lèze and offers a restaurant, a shared lounge and a terrace. This villa features a private pool, a garden and free private parking. ",43.279506,1.314169
10900,Ariege,"Maison de montagne tout confort,récemment rénovée - 8 personnes -Ménage, wifi , électricité, eau inclus - A 5min des Cabannes et 10min d'Ax les thermes",https://www.booking.com/hotel/fr/maison-de-montagne-tout-confort-recemment-renovee-8-personnes-a-5min-des-cabanne.fr.html,,"Set in Lassur, Maison de montagne tout confort, récemment rénovée - 8 personnes - Ménage et wifi inclus - A 5min des Cabannes et 10min d'Ax les thermes offers accommodation with a balcony and free...",42.769232858836,1.736606432541
10901,Ariege,La Maison Angelina,https://www.booking.com/hotel/fr/la-maison-angelina.fr.html,,"Located 200 metres from Chruch of Saint Lizier in Saint-Lizier, La Maison Angelina offers accommodation with a kitchen. The property features free private parking. ",43.0024879,1.1358049
10902,Ariege,Vacances zen,https://www.booking.com/hotel/fr/vacances-zen.fr.html,,"Situé à Fougax-et-Barrineuf, l'établissement Vacances zen dispose d'un jardin, d'un barbecue et d'une terrasse. Vous séjournerez à 49 km d'Ax-les-Thermes et bénéficierez d'un parking privé gratuit. ",42.880776105369,1.889601918136
10903,Ariege,ru,https://www.booking.com/hotel/fr/ru.fr.html,,"Le Ru est situé à Moulis. Vous séjournerez à 33 km d'Arties et bénéficierez d'un parking privé gratuit. Offrant un accès direct à une terrasse, cet appartement climatisé se compose de 2 chambres. ",42.953621,1.0799
10904,Cassis,Maison de 2 chambres a Cassis avec magnifique vue sur la mer piscine partagee jardin clos,https://www.booking.com/hotel/fr/holiday-home-avenue-abbe-cabrol.fr.html,,"Située à Cassis, à seulement 1 km de Bestouan, la Maison de 2 chambres a Cassis avec Le magnifique vue sur la mer piscine commune jardin clos propose un hébergement avec vue sur la piscine. ",43.2192764219324,5.53730444190251
10905,Cassis,LA BOHÊME by K6 Conciergerie Villas,https://www.booking.com/hotel/fr/la-boheme-by-k6-conciergerie-villas.fr.html,,"Situé à Cassis, à 2,2 km du cap Canaille, l'établissement LA BOHÊME by K6 Conciergerie Villas propose un casino, une connexion Wi-Fi gratuite et un service de concierge. ",43.213269924542,5.554930667165
10906,Cassis,Domaine Maraspar Cassis,https://www.booking.com/hotel/fr/domaine-maraspar-cassis.fr.html,,"Situé à Cassis, le Domaine Maraspar Cassis propose un hébergement avec une connexion Wi-Fi gratuite et une cuisine. ",43.212515,5.552604
